겪다	have trouble (difficulty); undergo
말다	little; not
잇다	next to; in series to
주고받다	exchange
미치다	have influence
올리다	increase; present, submit
뜨다	rise; float
갖추다	equipped; have, possess
흐르다	bleed; running
지나가다	pass by; pass; go by
넘기다	exceed; swallow
들리다	hear
