지나치다	too much; excessive
평범하다	ordinary; plain
진정하다	real
약하다	weak
답답하다	bother oneself; stuffy
화려하다	splendid, gorgeous; showy
활발하다	actively; effervescent, bright
바람직하다	desirable
못지않다	no less than
뻔하다	almost
흔하다	common
