학부모	parent of a student
한계	limit; limitation (not 제한, 최대)
핵심	very important; the point; core
협조	cooperation
추가	additionally
태산	a big mountain; stacks of work
통신	telecommunication
요청	request (not 요구, 부탁)
유적	cultural property
이삿짐	items to be moved
인류	mankind
자식	children (not 아이, 어린이, 아동, 자녀)
잠자리	sleeping; bed
장난	play; prank call (장난전화)
전개	construction; development (not 계발, 성장)
