제외하다	exclude
세차하다	wash a car
결심하다	decide
적응하다	adapt oneself to; adjust
종합하다	put together
분리하다	separate
강연하다	lecture on
건축하다	build; construct
투자하다	invest
탈출하다	escape
점검하다	inspect; check
강요하다	press; compel
개장하다	open
