아끼다	save; conserve
그만두다	quit; stop
없애다	remove, get ride of; eliminate
맡다	in charge of; be responsible
이기다	overcome; win
실펴보다	check
일으키다	bring something about, raise someone/thing up; cause
서두르다	hurry up; rush
얻다	gain; get
이루다	achieve; come true; make
이루어지다	be accomplished, be achieved; made
고려하다	consider
포기하다	give up
