참석하다	attend
후회하다	regret
파악하다	understand; figure out
개최하다	hold (a meeting), open (an exhibition), host (the Olympics)
담당하다	be in charge of (not 맡다)
당하다	have; compete
분석하다	analyze
상하다	spoil
관하다	about
이동하다	movement, migration, move, travel, migrate
의하다	based on; by
무시하다	disregard; ignore
제기하다	bring up
조정하다	adjust; arrange
설치하다	install; set up
