해롭다	harmful
유익하다	useful, helpful; usefully
사소하다	trifle, minor; insignificant
갑작스럽다	sudden, abrupt; unexpected
게으르다	lazy
굵다	thick
당당하다	confidently
독특하다	unique; unusual
두렵다	afraid of
멋지다	wonderful, great; nice
소용없다	useless
희다	fair, white
철저하다	completely; perfect, thoroughly
