심사	evaluation
영양소	nutrient
영업	working; sales
표지	book cover; mark
검토	review
대기	waiting
만족	satisfy
승용차	car; vehicle (not 자동차, 차량)
신분증	identify card/I.D. card
애	child; anxiety; anxious
출산	delivery; childbirth
위업률	employment ratio; percentage of employment
