감상하다	enjoy
긍정하다	agree with
휴식하다	rest
피로하다	get tired
비판하다	criticize
근거하다	based on
긴장하다	get nervous, get strained
실천하다	practice
자랑하다	be proud of
소화하다	digest
통화하다	talk over the telephone; call
외면하다	turn away
생산하다	producing
가입하다	become a member; join
깜빡하다	forget
