조사하다	research; investigate
해결하다	solve; settle; resolve
모집하다	recruit
실시하다	conduct
주의하다	be careful
학습하다	learn
활용하다	using; utilizing
구입하다	purchase, buy
지원하다	apply for; support
기대하다	expect; anticipate
주장하다	insist
