이르다	near to
내보내다	expel, eliminate; let out
돌아가시다	pass away
들이다	put
망설이다	hesitate
머무르다	remain; stay
쓰러지다	collapse, fall asleep; fall down
앞세우다	use; insist
혼나다 (혼내다)	be scolded; scold
훔치다	steal
흘리다	drop; spill
익다	cooked
졸다	sleep; doze, drowse
찌다	gain weight
불러일으키다	cause
삼키다	swallow
