공급하다	supply
순환하다	rotate; circulate
신뢰하다	trust
후원하다	sponsor; support
흥분하다	get excited
추돌하다	collide; collide with
출입하다	enter; visit
유치하다	hold; host
의논하다	discuss; discuss with
조직하다	organize
응모하다	apply for
출연시키다	play; perform
낳다	have a baby
늙다	age; get old
돋우다	raise; stimulate
