구매하다	buy, purchase
도전하다	challenge
고생하다	suffer; suffering
성장하다	grow up
출퇴근하다	commute
평가하다	evaluate
비교하다	compare with
설득하다	persuade
극복하다	overcome
근무하다	work
통행하다	passage; pass, go through
집중하다	concentrate on
