야외	outdoor
양보	give away, give up
흐름	flow
책임감	responsible
예측	estimate
의식	thought, aware, conscious
정성	devotion; with best wishes
주요	major, main, primary, leading, principal, chief, staple
지원서	application (not 신청서, 적용)
색상	color
