힘쓰다	try hard
채우다	fill
지르다	scream
지속되다	being continued; continue
선발하다	choose; select
권하다	ask for
퇴원하다	discharge from hospital
향하다	towards
취하다	take
신고하다	notify; report
무리하다	exceed, overdo; excessively
출연하다	appear
상상하다	imagine
강조하다	insist
위협하다	threaten
