제대로	correctly
추가 요금	additional fee
무료	free
공짜	free 2
절약하다	to save (money)
예금하다	to save (money) 2
꺼내다	to take out
변경되다	to change
주제가	theme song
옛날이야기	fairy tale
책을 펴다	to open a book
책을 덮다	to close a book
답답하다	feel heavy; uncomfortable; stuffy 
