휴대용	portable
충분히	fully
내성적인	introverted
외향적인	extroverted
평판	reputation
한산하다	to be dull, empty, slow
예능	artistic talent
소질	talent
휘발유	gasoline
승용차	car
줄다	to decrease
안정되다	to be steady
성장률	growth rate
꾸미다	to decorate
생필품	necessities
빚	debt
당첨되다	to win
지구온난화	global warming
빙하	glacier
되돌아오다	to return
가능성	possibility
더 이상	any more
사라지다	to disapear
수많다	to be numerous
설레다	to flutter
아쉽다	to miss
길가	roadside
안부	regards
유선 전화	wire telephone
대신하다	to take the place of
기능	function
장점	strong point
머지않아	anytime soon
추구하다	to seek
받아들이다	to accept
그리 많다	so many/much
여간	common, ordinary, normal
독서	reading
붐비다	to be crowded (ㅂ)
공격력	offense
수비	defense
양념	seasoning
