남다	to have spare something
바람을 쐬다	to get fresh air
기분전환	diversion
여유	relaxed mood
동성	same sex
-끼리	with each other
팔짱을 끼다	to link arms
오해하다	to misunderstand
들르다	to drop by
호두과자	walnut cake
