자매	sister
꼬박꼬박	all the time
남	others
친척	relative
호칭	appellation
알아보다	to look for/search
결서하다	to be absent from school
미혼	single
결근하다	to be absent from work
편찮다	to be unwell
안색	complexion
형편	circumstance
논의하다	to discuss
안건	matter
상태	condition
깜짝	with surprise
놀라다	to be surprised
휴직	leave of absence
심각하다	to be severe
병세	condition
감동적	moving
체엄하다	to experience
필기시험	written test
칭찬	compliment
중얼거리다	to whisper
기술	technique
연수생	trainee
고층건물	skyscraper
정신없다	to be out of one's mind
오해하다	to misunderstand
오해를 받다	to be misunderstood
오해가 생기다	for a misunderstanding to arise
오해를 풀리다	to clear up a misunderstanding
걸음	step/pace
무용	dance
대회	competition
상을 받다	to receive a prize
