과장	section chief
거래처 	customer (not 고객)
불일	business, something to do
연기하다	to delay
발표하다	to present
자료	material
마중을 가다	to go greet someone
가요	song (not 노래)
목도리	muffler/scarf
여주인공	heroine/leading lady
처방전	prescription
