두드러기	rashes
점점	More and more
가렵다	to be itchy
그만	now
혹시	maybe
지나다	to pass, go by.
고생하다	to suffer
검사	check
독후감	book report
떨어져 살다	to live apart from
약속을 지키다	to keep a promise
입맛	appetite
제시간에	on time
