고민하다	to agonize
점	sense
안색	complexion
신혼부부	newly wed couple
따다	to get
마치다	to finish
갚다	to payback
친할아버지	grandfather (dad's side)
친할머니	grandmother (dad's side)
외할아버지	grandfather (mom's side)
외할머니	grandmother (mom's side)
큰아버지	older uncle (dad's side)
큰어머니	older aunt (dad's side)
외삼촌	maternal uncle
외숙모	maternal aunt
작은 아버지	little uncle (dad's side)
작은 어머니	little aunt (dad's side)
고모	aunt (dad's side)
고모부	uncle (dad's side)
이모	aunt (mom's side)
이모부	uncle (mom's side)
사촌	cousin
조카	grandchildren
