마감일	due date
수업료	tuition
초급	beginner's course
분반시험	level test
환율	daily exchange rate
금액	total cost
문방구	stationary 
충전하다	to charge
건전지	battery
작동하다	to operate/work/use
도장을 찍다	to stamp
관리비	maintenance cost
부탁을 들어주다	to do someone a favor
거리	distance
지방	local
지역	area
엄하다	to be strict
입학하다	to enter
앞두다	to have something ahead
다정하다	warm-hearted
멋지다	To be great
