깜빡하다	to forget
무척	greatly
기분을 풀다	to let off steam
멋지다	to be nice
물래	secretly
꽃다발	a bunch of flowers
연애하다	to date
기분이 들다	makes someone feel like
개국자	patriots
훌륭한	worthy, superior, noble
끌리다	to be drawn/attracted
개다	to clear up
동창생	old school classmates
선을 보다	to meet each other with view to marriage
국민	nation
얻다	to obtain/get
보험	insurance
환경보호	protection of the environment
식욕	appetite
우울하다	to be gloomy
빨대	straw
계산대	counter
배꼽	navel
배꼽을 잡고 웃다	to laugh one's head off
