발야구	kickball
야유회	picnic
사이가 가깝다	to be close
생각이 나다	to think of something
(차를) 세우다	to park
실내장식	interior decoration
전체적으로	entirely
대단하다	to be great
도구	tools
가득하다	to be full
외치다	to shout
감동하다	to be touched
훨씬	much more
친척	relatives
