기침이 나다	to have a cough
몸살	body aches
붓다	to swell
푹	well
될 수 있으면	if possible
처방하다	to prescribe
식후	after meals
소방차	fire engine
홍수가 나다	to have a flood
자나 깨나	whenever
눈을 감다	to die
무덤	tomb
떠내려가다	to be swept away
