동창회	reunion
알아보다	to recognize
쭉	all the way
생활하다	to do something
사업하다	to do a business
쟤	that (person)
몰라보다	not to recognize someone
(몸이) 마르다	to be skinny
배가 나오다	for a stomach to stand out
늙다	to be old
반대하다	to oppose
경치	landscape
물거품	bubble
1등	first place
장학금	scholarship
중고품	used item
정원	garden
