붙박이 옷장	built-in closet
세면도구	toiletry
수건	towel
현관	porch
신발장	shoe rack
수납하다	to store
평소에	daily
치우다	to clean
맞추다	to fit
글씨	handwriting
해결되다	to get solved
자유롭다	to be free
독립하다	to go independent
