심부름센터	detective agency
잔심부름	little errand
관공서	public office
떼다	to get a copy of
적응하다	to get used to
상상하다	to imagine
비극	tragedy
성적	grades
사이	relationship 2
봉사 활동	voluntary service
성묘	visiting family member's grave
친지	relative
찾아뵈다	to pay a visit
기르다	to raise
도대체	at all; ever
대체로	overall, generally, mostly
표지	cover, binding
상표	trademark 
상표를 떼다	take off trademark
서류를 떼다	issue a document
눈을 떼다	avert eyes
함부로	thoughtlessly, carelessly
다루다	to handle smth; operate/work smth
작곡하다	to compose (a tune/song)
