간편하다	to be convenient
그렇지 않아도	as a matter of fact
대다	to touch
지문	fingerprint
신체	body
불일	chores
걸래	mop
민박	bed and breakfast
숙박하다	to lodge
빠른우편	express delivery
차이	difference
문지르다	to rub (cream/lotion)
쓰다듬다	to pet/stroke
핑계	excuse
청진기	stethoscope
학비를 대다	to pay school expenses
핑계를 대다	to make/give an excuse
차를 대다	to park a car
청진기를 대다	to put a stethoscope (on chest)
밟다	to step on
