한턱내다	to treat someone
장학생	scholarship student
합격하다	to enter
경우 	in case
주위	around
대접하다	to treat others
아무튼	anyway
국내	domestic
도장	stamp
미만	less than
마감되다	to close
납기일	deadline
연체료	late fee
외국인 등록증	foreigner registration certificate 
선약	previous engagement
빈자리	vacancy
