가맹점	franchise
결제	payments
교훈	lesson
금액	amount of money
면제	exemption
무이자	interest-free
무절제하다	commit
신용카드	credit cards
연회비	(annual) membership fee
일시불	lump sum
적립	save up
최근	latest
포인트	point
한도	limit
할부	pay in installments
할인	discount
