꽤	sizeable, considerable
발표	announcement
보고서	formal report
분석	analysis, examination
수집	collection, gathering
신뢰하다	to trust, to have confidence in
얻다	to gain, to obtain
잘못하면	if something goes wrong
정리	an arrangement (eg of desks)
조사	survey, research
종합	synthesis, summary
