검색	search, query
게시판	notice board, message board
고생 끝에 낙이 온다	April showers bring mayflowers.
그립다	to miss, to long for
네티즌	netizens (internet users)
덕을 보다	to benefit (from sb), by virtue of
동영상	video, movie
마주보다	to be opposite, to look directly at
블로그	blog
사이트	website
연말연시	the end of the year, the holiday season
영상채팅	video chat
인터넷뱅킹	internet banking
접속	access (eg the internet)
