개방적	be open (to sth)
개성적	distinctive
관찰력	power of observation
독립적	independent
보수적이다	conservative
사고방식	way of thinking
신기하다	surprising
의존적	dependent
진보적	progressive, liberal
폐쇄적	closed
획일적	uniform, one size fits all
