감시	observation
권리	right (eg. civil, human)
면	side (of something)
명예훼손	defamation, libel
소유권	title, ownership
손해배상	damages (financial)
악용되다	exploit, misuse sth, put sth to bad use
안심	peace of mind
안전	safety
인권	human rights
재산권	property right
저작권	intellectual property, copyright
제약	restrictions
초상권	portrait rights
침해	infringement
