건강의료비	health expenses
경조사비	money for congratulations and condolences
공과금	utilities
교육비	education fees
교통비	transportation fees
단기간	short term
대여	rental
마련하다	to prepare (money)
문화 레저비	cultural and entertainment expenses
보험	insurance
생활 잡비	sudden unplanned expenses
세금	taxes
식비	food expenses
외식비	eating out expenses
위험부담	risk
이익	profit
자금	funds
잔액	balances
주식	shares
차량유지비	vehicle maintenance fee
