고구마	sweet potato
귀성행렬	homecoming traffic jam
내내	throughought (a period of time)
너 나 할 것 없이	not just you and I
맏-	the first (of a set)
맨-	without anything else, (bare __ed)
며느리	daughter-in-law
붐비다	crowded
사위	son-in-law
열대지방	tropical area
주먹	fist
첫-	the first (sth, not necessarily of a set)
추석	Korean Thanksgiving
추수감사절	Thanksgiving (not Korean)
햇-	This year's (sth)
행렬	procession, a line of people/cars
