과학적	scientific
귀신	ghosts
근거	grounds, basis
금기	taboo
논리적	logical
도깨비	goblin, gremlin
뒤떨어지다	to fall behind (sth)
마녀	witch
민간신앙	folk beliefs
비과학적	unscientific
신	god
신경쓰다	to pay any attention (to sth)
악마	devil
천사	angel
