관심사	a matter of concern/interest
귀성객	travellers returning to their hometowns for the holidays
덕담	well-wishes
떡국	rice cake soup
설날	Lunar New Year's
설빔	new clothes for Lunar New Year's
성묘	paying respects to the grave of one's ancestors
세배	bowing for New Year's
세뱃돈	New Year's money
장손	the first son of the first son
차례	ancestor worship ceremony (New Year's)
친지	acquaintances
