금강산도 식후경	Pudding rather than praise.
세 살 적 버릇 여든까지 간다	What is learned in the cradle is carried to the tomb.
그림의떡	Pie in the sky.
누워서 떡 먹기	A piece of cake.
떡 줄 놈은 생각지도 않는데 김칫국부터 마신다	Don’t count your chickens before they’ve hatched.
원숭이도 나무에서 떨어질 때가 있다	Even monkeys fall from trees.
고래 싸움에 새우 등 터진다	When giants fight it’s the little guys that lose.
믿는 도끼에 발등 찍힌다	To bite the hand that feeds you.
아니 땐 굴뚝에 연기 나랴	Where there’s smoke there’s fire.
배보다 배꼽이 크다	The belly button is bigger than the belly.
