머리기사	headlines
독자투고	reader's comments, letters to the editor
란(난)	area/space on a page (layout)
만평	a political cartoon
빠뜨리다	to forget (sth), to come without (sth)
상식	common sense, common knowledge
인사동정	public notices (of awards, promitions, deaths, etc)
일과	daily work/tasks
일어나다	to occur or break out (eg war, revolution, disaster)
면	newspaper section (eg business, sports)
사설	editorial (column)
칼럼	column (in a newspaper)
