,0,1
102,마다,every
103,배우다,to learn
104,별로,not very
105,하다,to play
106,타다,to ride
107,농구,basketball
108,약구,baseball
109,배구,volleyball
110,태권도,taekwondo
111,골프,golf
112,당구,billiards/pool
113,테니스,tennis
114,배드민턴,badminton
115,스키,skis
116,스케이트,skates
117,자전거,bicycle
118,스노보드,snowboard
119,공,ball
120,사용하다,to use
121,팀,team
122,손,hand
123,준비운동하다,to warm up
124,신다,"to wear (shoes, socks)"
125,샤워,shower
126,머리를 감다,to wash one's hair
127,모니터,monitor
128,조사,research
129,보내다,to spend time
130,방법,method
131,집안일,housework/chores
132,스포츠,sports
133,관광지,tourist spot
134,놀이공원,amusement park
135,온천,hot spring
136,활동,activity
137,카드,(credit) card
138,미역국,seaweed soup
139,와이셔츠,dress shirt
140,이해하다,to understand
141,생활,life
142,특히,especially/particularly
143,드라마,TV series
144,조깅,jogging
0,길,street/road/path
1,묻다,to ask
2,아파트,apartment
3,찾다,"to look for, to find"
4,왼쪽,left
5,실례지만,"Excuse me, but.."
6,번,number
7,출구,exit
8,이쪽,this way
9,그쪽,that way
10,저쪽,that way (over there)
11,오른쪽,right
12,건너다,to cross
13,건너편,the opposite side
14,지하도,underpass
15,육교,overpass
16,횡단보도,crosswalk
17,층,floor/level
18,샌드위치,sandwich
19,대사관,embassy
20,미술관,art gallery/art museum
21,호텔,hotel
22,나오다,to come out
23,신문사,newspaper office
24,똑바로,straight
25,기숙사,dormitory
26,오피스텔,a building with both business and apartments
27,원룸,studio apartment
28,북문,north gate
29,서문,west gate
30,동문,east gate
31,얼마나,(for) how long
32,걸리다,to take (time)
33,호선,subway route or line (number)
34,교통,transportation
35,버스,bus
36,시내버스,intra-city bus
37,고속버스,long-distance bus
38,마을버스,neighborhood bus
39,택시,taxi
40,일반택시,standard taxi
41,모범택시,deluxe taxi
42,기차,train
43,자동차,car
44,자전거,bicycle
45,비행기,airplane
46,배,ship
47,연락,contact
48,젓가락,chopsticks
49,이메일,email
50,비디오,video
51,밀리다,to be jammed/to be packed
52,머리,head
53,늦다,to be late
54,곳,place
55,호수,lake
56,자리,seat/one's place
57,교통수단,means of transportation
58,떠나다,to leave
59,빨리,fast
60,오래,long (period of time)
61,조심하다,to be careful
62,비키다,to move aside/to get out of the way
63,앉다,to sit
64,역,station
65,정류장,bus stop
66,공항,airport
67,고속버스 터미널,express bus terminal
68,타다,to get on/to ride
69,내리다,to get off
70,갈아타다,to transfer (traveling)
71,도착하다,to arrive
72,여관,inn
73,민박,guest house
74,펜션,lodge
75,콘도,condominium
76,회,sashimi
77,만지다,to touch
78,사진을 찍다,to take a photo
79,담배,cigarettes
80,담배를 피우다,to smoke
81,주차하다,to park a car
82,떠들다,to make a noise/ to chat
83,지각하다,to be tardy
84,게임,game
85,안내 방송,announcement
86,모르다,to not know
87,걱정하다,to be worried
88,가르치다,to teach
89,걷다,to walk
90,세우다,to stop
91,기사,driver
92,들어가다,to go in
93,출발하다,to depart
94,사거리,crossroads
95,신호등,traffic light
96,직진,go straight
