날씨	Weather
어젯밤	Last night
공향	Hometown
마중 나오다	To see off
반갑다	To be pleased
시내	Downtown
구경하다	To look around
거리	Distance
멋있다	To be handsome
화가	Anger
예술	Arts
도시	City
건물	Building
분위기	Atmosphere
벌써	Already
혹시	By chance
달팽이	Snail
에펠탑	Eiffel Tower
감상하다	To appreciate
포도주	Wine
즐겁다	To be delightful or pleased
연락하다	To contact
