재킷	Jacket
회색	Grey
갈색	Brown
바지	Trousers
벌	A pair of ...
원피스	Dress
별로	Not really..
마음에 들다	To be to one's liking
쑥스럽다	To be embaressed
점원	Shop clerk
탈의실	Dressing room
어울리다	To match
갈아입다	To change clothes
피부	Skin
신상품	New product
다양하다	To be diverse
할인(을) 하다	To have a discount
할인(을) 받다	To receive a discount
취향이 같다	To have same tastes
취향이 다르다	To have different tastes
갈아 신다	To change shoes
갈아타다	To transfer
부탁(을) 하다	To request a favour
부탁(을) 받다	To receive a request for a favour
설명하다	To explain
자세하다	To post
데이트	Date
향수	Perfume
향수를 뿌리다	To put perfume on
부끄럽다	To be shy
창피하다	To be embaressed 2
양복	Western suit
꽃다발	Bunch of flowers
감독(을) 하다	To supervise
감독(을) 받다	To be supervised
감독적이다	To be touching
예메하다	To make a reservation
인기가 많다	To be populat
매진	Sold out
매진이 되다	To become sold out
미성년자	Minor
자막	Subtitle
넘어지다	To fall over
농담을 하다	To make a joke
농담이 심하다	To take a joke too far
