5대 영양소	Top 5 nutrients
탄수화물	Carbohydrate
단백질	Protein
무기질	Inorganic matter
비타민	Vitamin
지방	Fat
보약	Restorative tonic
보양식	Health food
발암 물질	Substance capable of causing cancer
발효 식품	Fermented food
발효시키다	To ferment
산성	Acidity
알칼리성	Alkali
편식(을) 하다	To be a picky eater
식욕을 돋우다	To increase one's appetite
음식을 섭취하다	To eat food
채식(을) 하다	To eat vegetarian
건강을 유지하다	To keep fit
열량이 높다	To be high in calories
영양분이 풍부하다	To be high in nutrients
병을 유발하다	To cause disease
함량이 높다	To have a high content
항암 효과가 크다	To be highly effective in preventing cancer
뛰어나다	To be outstanding
인스턴트 음식	Instant food
떼다	To take off
병이 나다	To get sick
밥상	Table
굳이	Necessarily
애(를) 쓰다	To make an effort
성인병을 앓다	To suffer from adult diseases
들	Field
더해지다	To be added
입맛을 잃다	To lose one's appetite
상큼하다	To be fresh, refreshing
입맛이 돌아오다	To have an improved appetite
저절로	Of one's own accord
강의	Lecture
시간 가는 줄 모르다	To not notice time moving
청국장	Fast-fermented bean paste
무심코	By accident
유산균	Lactic acid
인	Phosphorus
칼슘	Calcium
체질	Constitution
체형	Body type
굵다	To be thick, big
체격	Physical condition
상체	Upper body
하체	Lower body
참을성이 있다	To be patient
걸음걸이	A walking pace
싫증을 내다	To tire of something
군형이 잡히다	To be identified
균형을 이루다	To reach a balance
침착하다	To be calm, poised
내성적이다	To be introverted
신경을 쓰다	To care
한의학	Oriental medicine
박사	Doctor
식성이 좋다	To have a good appetite
제격이다	To befit one's station
음식을 골라 먹다	To pick and choose food
종합하다	To put together
이점	Benefits
활용하다	To utilize
과학성	Scientific nature
의문을 제기하다	To raise a question
앞서	Before
분류 기준	Sorting standards
뚜렷하다	To stand out
의견을 나누다	To exchange opinions
서구화되다	To be westernised
식단	Diet
도입하다	To introduce
식량	Food
구하다	To rescue, look for
육류	Meat
주식	Staple food
성분	Ingredient
초래하다	To result in
필수적이다	To be essential
두뇌 회전	Quick wit
배제하다	To exclude
과감하다	To be daring
사상 의학	Sasang constitutional medicine
양	Yang
음	Yin
결단력이 있다	To be decisive
계란 흰자	Egg whites
구석기	Old Stone Age
사냥	Hunting
채집	Gathering
