새롭다	To be new, original
망치다	To ruin
차를 몰다	To drive a car
손톱	Finger nail
물어뜯다	To bite off/ gnaw
인연	A person's connection or tie
사연	Story
피하다	To avoid
어색함이 사라지다	To ease the ice
호감이 생기다	To strike a favorable note
이민을 가다/떠나다	To migrate from another country
명함	Business card
아쉬움을 달래다	To ease one's frustration
장마	Rainy season
대청소를 하다	To clean up
마음(을) 먹다	To make up one's mind
책장	Book case
연락이 닿다	To be in touch
울음소리	Crying sound
들려오다	To come into hearing
직감하다	To feel in one's bones
무렵	Around (time)
어쩌면	Maybe
친정(집)	Married Woman's Parents' Home
조카	Nephew
눈 녹듯이 사라지다	Snow melts away
빠짐없이	Without fail
연락이 끊어지다	To lose contact
오해가 풀리다	To clear a misunderstanding
용서를 빌다	To beg for pardon
무역업을 하다	To trade (for business)
사업이 망하다	A business fails
앞이 캄캄하다	To be gloomy, hopeless
노숙 생활	A homeless life
끼니	Chimney
쫓겨나다	To be expelled, kicked out
불을 지르다	To set fire to something
허름하다	To be shabby, humble
한가득	Full of beans
담다	To put in
뺏어 가다	To take away
슬슬	Gradually
소리치다	To shout
찾아뵙다	To visit
갓난아이	Baby, infant
파라과이	Paraguay
눈가가 촉촉해지다	One's eyes are moistened
