,0,1
0,공정 무역,Fair Trade
1,다국적 기업,A multinational enterprise
2,대기업,Conglomerate
3,중소기업,Medium and small sized businesses
4,국산(품),Domestic (goods)
5,외제,Foreign goods
6,수입품,Imported goods
7,수출품,Exported goods
8,무역 흑자,A trade surplus
9,무역 적자,A trade deficit
10,선진국,Advanced country
11,개발 도상국,Developing country
12,저개발국,Underdeveloped country
13,사업에 투자하다,To invest in business
14,경제 협력을 증진하다,To promote economic cooperation
15,원조(를) 하다,To help out
16,원조(를) 받다,To receive assistance
17,해외에 진출하다,To advance abroad
18,해외에 투자하다,To invest abroad
19,원화,Korean won
20,달러 가치가 올라가다,Value of the dollar increases
21,떨어지다,To fall
22,환율이 상승하다,Rising exchange rate
23,하락하다,To take a tumble
24,변동하다,"To change, fluctuate"
25,선정하다,"To select, choose"
26,향기롭다,"To be fragrant, aromatic"
27,진하다,"To thicken, darken"
28,재배하다,"To cultivate, grow"
29,가난에서 벗어나다,To emerge from poverty
30,진출하다,"To advance, emerge"
31,불공정하다,To be unfair
32,품질,Product quality
33,경쟁력이 있다,To be competitive
34,가정 형편이 어렵다,To be in needy circumstances
35,외교관,Diplomat
36,고통을 받다,To suffer pain
37,주거비,House costs
38,제자리걸음을 하다,To keep one's feet on the ground
39,이야기가 펼쳐지다,A story unfolds
40,네팔,Nepal
41,향기를 담다,To express fragrance
42,커피 원두,Coffee beans
43,상세 정보,Detailed information
44,상품평,Commercial review
45,배송,Shipping
46,교환,Exchange
47,반품,To return an item
48,원산지,Country of origin
49,운송 수단,Means of transport
50,손쉽게,Very easily
51,수익을 올리다,To make a profit
52,노동력,Labor force
53,운반하다,To transport
54,이익을 얻다,To make a profit
55,생계를 이어나가다,To make a living
56,임금,Wage
57,도달하다,"To arrive, reach"
58,비용,Cost
59,이상,More than
60,이하,Less than
61,가정하다,"To suppose, assume"
62,인건비,Personal expense
63,포함되다,To be included
64,의의,Meaning
65,보장하다,To guarantee
66,자립하다,To be self-reliant
67,구상하다,"To plan, design"
68,정당하다,To be fair
69,지불하다,To make a payment
70,장기적 관점에서 보다,From a long term perspective
71,일방적이다,To be one-sided
72,개념,Concept
73,대가,Pay
74,지급하다,"To give, provide"
75,협력의 관계를 맺다,To form a cooperative relationship
76,제외하다,"To make an exception, exclude"
77,일부러,Deliberately
78,불과하다,To be nothing more than
79,대립적이다,To be opposing
80,모색하다,"To seek, find"
81,시도,"Try, attempt"
82,베풀다,To have mercy
83,인식(의) 전환,Change of awareness or cognition
84,현황,Present condition
85,배경,Background
86,전망,Outlook
87,대형 매장,A large store
88,저렴하다,To be cheap
89,저소득층,Low income bracket
90,적정 가격,A reasonable price
91,장신구,An ornament
92,도자기,Pottery
93,미미한 수준,To a minor degree
94,돈방석에 앉다,To be rolling in money
95,목이 빠지다,To wait impatiently for
96,발 디딜 틈이 없다,To be jam packed
97,배가 등에 붙다,To be starving because there is no food
98,배가 터지다,Stomach bursts
99,상다리가 부러지다,To load the table with lots of food
100,손가락을 빨다,To be so broke you can't do anything
101,(월급이) 쥐꼬리만하다,To have a small salary
102,파리만 날리다,To not have a lot of business
103,허리띠를 졸라매다,To tighten one's belt
0,아련하다,To steal a glance at
1,애절하다,To be pathetic
2,애틋하다,"To be worried, pathetic"
3,풋풋하다,To be fresh
4,서먹서먹하다,To feel awkward
5,쑥스럽다,"To be shy, bashful"
6,안타깝다,To be regrettable
7,그리워지다,"To miss, long for"
8,애(가) 타다,To give birth
9,감정이 복받치다,To feel a surge of emotion
10,가슴이 뛰다,One's heart leaps
11,가슴이 저리다,To feel numb
12,가슴이 찢어지다,To feel heart broken
13,추억을 떠올리다,To recall memories
14,심장이 멎는 것 같다,Heart feels like its about to stop
15,작품,"Work, piece"
16,소녀,Girl
17,소년,Boy
18,섬세하다,To be delicate
19,세밀하다,"To be detailed, elaborate"
20,묘사하다,To describe
21,담담하다,"To be calm, composed"
22,재창작되다,To be re-opened
23,향수,Homesickness
24,순수하다,To be pure
25,분석하다,To analyze
26,통일되다,To be unified
27,거칠다,To be rough
28,짐작하다,To guess
29,직장 생활,Professional life
30,상사,Boss
31,딴소리를 하다,To talk nonsense
32,말을 걸다,To start a conversation
33,눈길을 피하다,To avert one's eyes
34,깊숙이,Deep down
35,정취,"Atmosphere, flavour"
36,유년기,Childhood
37,소나기,Shower
38,던지다,To throw
39,앓다,To be ill
40,얼룩이 묻다,To be stained
41,개울가,By the brook
42,조약돌,Pebble
43,도랑,Ditch
44,대기만성이다,To be full of hot air
45,승승장구하다,To make a successful start
46,전화위복이다,To be a blessing in disguise
47,칠전팔기,"To fall seven times, rise 8 times"
0,고통을 감수하다,To endure hardships
1,꿈을 이루다,To fulfill one's dreams
2,명성을 떨치다,To make well-known in the world
3,목표를 이루다,To achieve one's goal
4,목표를 향해 나아가다,To move forward one's goal
5,목표를 향해 전진하다,To move forward one's goal 2
6,삶을 개척하다,To rebuild one's life
7,시련에 부딪치다,To be faced with an ordeal
8,시련을 극복하다,To overcome hardships
9,어려움을 극복하다,To overcome hardships 2
10,악조건을 이겨 내다,To overcome a handicap
11,열정을 쏟다,To put one's heart and soul into something
12,열정을 기울이다,To put one's heart and soul into something 2
13,인정을 받다,To receive recognition
14,일생을 바치다,To devote one's life
15,자수성가하다,To make one's fortune by one's own effort
16,최선을 다하다,To do one's best
17,혼신의 힘을 다하다,To use all one's strength
18,고비,Crisis
19,공치다,"To waste, to be fruitless"
20,낯설다,To be unfamiliar
21,다양화하다,To diversify
22,달가워하다,To be pleased
23,면박을 주다,To rebuke
24,몸담다,To enter a profession or field of work
25,선고를 받다,To be sentenced
26,소매상,Retail dealer
27,수척하다,"To be very thin, haggered"
28,순탄하다,To be smooth
29,시식 행사,Food tasting event
30,전환점,Turning point
31,절망적이다,To be hopeless
32,제의를 받다,To receive an offer
33,죄우명,Motto
34,지성이면 감천,Sincerity moves heaven
35,취금하다,"To deal with, handle"
36,투병,Fight against a disease
37,펜팔,Penpal
38,폭격,Bombing
39,푸대접하다,To give a cold reception
40,품평,"Criticism, evaluation"
41,홍보,Public relations
42,흑자를 기록하다,To make a profit
43,격언,"Maxim, aphorism"
44,약력,Brief personal history
45,뒤늦게,Late
46,죄절을 겪다,To suffer a sin
47,수상하다,To be suspicious
48,입양,Adoption
49,중퇴하다,To drop out
50,인수하다,To take over
51,복귀하다,To return
52,성공을 이루다,To achieve success
53,발레,Ballet
54,(뼈에) 금이 가다,To have a fracture
55,최고 경영자,Chief Executive Officer
56,치열하다,To be fierce
57,몸짓,Body language
58,절망하다,To lose one's heart
59,비록,Although
60,힘이 닿다,To be within one's power
61,수없이,Countless times
62,발레리나,Ballerina
63,마라톤 선수,Marathon runner
64,결승점에 이르다,To reach the finish line
65,흔들리다,To shake
66,줄기,Stem
67,곧게,Straight
68,6.25 (전쟁)가 터지다,The unraveling of the Korean War
69,미군,United States Forces Korea
70,폭격,Aerial bombing
71,죽을 고비를 넘기다,To have a near death experience
72,장애,Disorder
73,건너가다,To get across
