신문사	newspaper company
기사	article (newspaper)
머리기사	lead story/headline, cover story (headline)
광고	advertisement
사설	editorial
정치면	political column
경제면	business column
사회면	social column
문화면	culture column
스포츠면	sports column
국제면	international news column
제호	a title (magazine, book)
1면 사진	front picture
지면	paper (magazine)
사진설명문	caption
주요 기사 안내	main/major news info (summary box found on the front page)
공중파 방송	public TV broadcast
유선 방송	cable broadcast
인터넷 방송	internet broadcast
기자	reporter
특파원	correspondent
취재하다	to gather/cover something
아나운서	announcer
보도하다	to report (media)
제작하다	to produce
프로듀서	producer
채널	channel
시청자	viewer
채널을 돌리다	to change the channel
시청하다	to watch TV (news)
프로그램	television program
생방송	live broadcast
속보	breaking news
재방송	rerun
뉴스	news
시사 프로그램	current affairs program
특집방송	feature broadcast
드라마	drama
스포츠 중계방송	sports broadcasting
예능 프로그램	entertainment program
수출되다	to be exported
판권	copyright
시나리오	scenario
쏠리다	to focus
색다르다	to be unconventional (positive way)/to be exotic
형식	a type/form
방영되다	to be broadcast
소통하다	to communicate
거주하다	to inhabit
구성원	member
운영되다	to become managed/operated
이주민	an immigrant
교육 방송	educational broadcast
친숙하다	to be familiar (with someone/thing 친숙하게 생각하다)
구사하다	to have a command (of something)
혼혈인	mixed blood/race person
호의적	favorable
방송 출연	appearance on TV
면	a newspaper column
정보 전달하다	to deliver information
지상파 방송	public broadcast (지)
뿐만 아니라	besides (뿐)
동창회	reunion party
잡지를 구독하다	to subscribe to a magazine
며칠 전부터	for the last few days
꾸준히	steadily, consistently
귀화를 하다	to be naturalized (Korean citizenship)
연예인들	celebrities
다운 모습	having a favorable appearance
답다	to be like (한국인다운 모습)
남자답다	to be manly (a man who fulfills his role as a man)
신선한 웃음	fresh humor (new, refreshing humor)
호의적	kind, friendly, favorable (towards)
등장하다	to appear, make an appearance, come on (연극)
거침없는 사람	an outspoken, feisty person (driving forward past obstacles)
입담	skill at talking
거침없다	to be without hesitation, reserve, shyness, (effortlessly)
발휘하다	to demonstrate, show (one’s abilities)
약방에 감초	an indispensable thing/person (유재석, )
감초	licorice (was used to sweeten medicine)
활약하다	to play an active part in
흔하다	to be common, commonplace
유창하다	to be fluent, eloquent
시기	opportunity/chance/period of time (시간 기간)
구사하다	to have a command of
연예계	the entertainment business
진출하다	to push to the front, make a foray towards
사로잡다	to captivate, fascinate (시청자들)
대체로	generally, most, overall
영향	effect (on), influence (on)
더빙	dubbing
빼놓다	to leave something, somebody out
