변화	change/alteration 환경, 모습, 상황
대가족	extended family
핵가족	nuclear family
1인 가구	single-person household
다문화 가족	multi-cultural family
한부모 가족	single parent family
입양 가족	adoptive family
독신으로 혼자 살다	to be single and living alone (living like a (male) spinster)
주말부부로 살다	to be a long distance couple (live together on weekends)
기러기부부로 살다	to live with one parent abroad (lit. "goose parent")
아이를 입양하다	to adopt a child
효도하다	to be filial (devoted) to one's parents
부모님을 모시다	to support one's parents
부모님께 복종하다	to obey one's parents
가부장적이다	to be patriarchal
혈연을 중시하다	to place emphasis on blood ties
아들을 선호하다	to prefer sons
여자가 가사를 전담하다	the woman is responsible for all housework
분가하다	to move out of one's parent's house (after marriage)
독립하다	to be independent
개인 생활을 중시하다	to place emphasis on one's personal life
아들과 딸을 차별하지 않다	to not discriminate between sons and daughters
부부가 맞벌이를 하다	to be a couple that has a dual income
부부가 가사를 분담하다	to split the housework
50%가 맞벌이를 하다	50% of households have a dual income
소중하게	preciously
20대 초반이다	to be in one's early twenties (대=generation)
형태	form
가장	head of the household
이어 가다	to continue
이에 반해	contrarily (이에)
역할	role
달라지다	to alter/shift (달)
복종하다	to obey
가족 관련 기념일	family related anniversary days
기념일	anniversary day
어린이날	Children's day (5월5일)
차별	discrimination
법정 공휴일	national holiday
어버이날	Parent's day (5월8일)
카네이션	carnation (flower)
입양의 날	Adoption day (5월11일)
입양문화	culture of adoption
활성화	vitalization
부부의 날	Couple's day (5월21일)
깨닫다	to realize
둘이 하나가 된다는 뜻에서 21일로 정해졌다	They picked the 21st to represent 2 becoming 1
현대	modern times
정시에 퇴근하다	to leave work right on time
권장하다	to encourage
몸이 건전하다	to have a sound (healthy) body
주중 하루라도	even most days of the week
전업 남편	house-husband
전업 주부	house-wife
조금 쌀쌀해요.	I feel a little cold. (chilly)
분위기	mood, atmosphere
주변	surroundings
아이를 낳다	to give birth to a baby
독신자	a bachelor/spinster (they will never get married)
자유	freedom
친척	relative, relation (extended family)
분담했으면 좋겠어요.	I hope we can share (the task/work).
여러가지	various(가지)
진짜 웃겨요.	(It's) really funny.
전혀 안웃겨요.	That's not funny at all.
전혀	completely, absolutely, not at all
마찬가지다	to be the same (마찬)
책임	responsibility/duty
결정하다	to determine/decide (결)
전담하다	to take charge of
선호하다	to prefer
늘어나다	to  grow, increase, rise, mount (up)
작고 실용적인 집	small but practical house
젊은 사람들	young people
전 독립해서 혼자 살고 있어요.	I'm independent and live alone.
효자네요.	He's really a devoted son.
대부분이고요.	It's the most part. (of people who think one way)
소중함을 깨달았어요.	I realized it's importance.
정하다	to decide (no 결)
정해지다	to be set, fixed, arranged
시간이 부족한 거예요.	I'm short of time. (I don't have enough time, lacking)
부족하다	to lack, to be short of something
현대인	a modern person/man
책임지다	to become responsible for (책)
일을 결정하고 가사를 분담하다	to determine the task and share the housework
역할이 커지다	for one's role to be extended/become larger
분위기가 없어지다	for the mood/atmosphere to be gone (of a certain way of thinking/feeling)
분가 시키다	to marry off and move out a child (son/daughter)
