정보를 검색하다	to search for information
이메일을 보내다	to send an email
인터넷 게임을 하다	to play internet games
블로그를 하다	to make a blog
자료를 올리다	to upload data
영화를 내려 받다	to download a movie
채팅하다	to chat
인터넷 뱅킹을 하다	to do internet banking
인터넷 쇼핑을 하다	to go internet shopping
중독이 되다	to become addicted
부정확한 자료가 있다	to have inaccurate information
유해한 정보가 많다	to have a lot of harmful information
개인 정보가 유출되다	to leak personal information
시간을 낭비하다	to waste time
폭력적인 게임이 많다	to have many violent games
눈이 나빠지다	one's eyesight is getting worse
건강을 해지다	to damage one's health
장바구니	shopping basket
상품명	product name
수량	amount/quantity
선택	choice/selection
변경	change/alteration 계획, 주소, 시험 날짜
삭제	elimination/deletion
주문하기	ordering
상품 가격	price of goods(상/가)
포인트 할인	discount points
SNS	social network service
배송비	delivery cost (비)
배송료	delivery fee (료)
총 결제 금액	the total amount (of something)
결제 방법	method of payment
신용 카드	credit card
무통장 입금	direct deposit
계좌이체	account transfer
휴대폰 결제	cellphone payment service
결제하기	paying
화상 전화	video call
올라오다	to come up
발견하다	to detect
풍경	scenery
소식	news
대표적인	a representative (a person)
포털 사이트	search portal
제공하다	to serve (to provide: 정보를 제공하다)
지식in 서비스	Q&A service
동호회인	club member 동호
강점이다	strongest point
최초	first
젊은 세대	young(er) generation
할인	discount
일시불	lump sum payment
주문완료	order completion
할부기간	installment period (payment, no space)
카드구분	card classification (type)
음식을 골고루 먹다	to eat a well balanced diet/meals
인터넷 후기	internet reviews
학교 생활의 장단점	the pros and cons of your school life
버릇이 되다	to become a bad habit
유익한 사이트	a helpful/good website
유해한 사이트	a harmful website
덜 공부해요.	I study less.
편식하다	to only eating one thing (imbalanced diet)
편애하다	to only like one person (favoritism)
편도	one way (ticket)
술에 중독됐어요.	(He's) addicted to alcohol.
이해 안 됐어요.	I don't have understanding of (something).
본체	harddrive
전원	power (power on)
은행일을 보다	to take care of/do stuff at the bank
버스를 놓치다	to miss the bus
돈을 빼다	to take out money (from the bank)
송금하다	to wire money
입금하다	to deposit money
출금하다	to withdraw money
일을 보러 가요.	I'm going to take care of stuff (business/errands).
사기를 당하다	to be swindled, conned, scammed
정확하다	to be accurate, correct, exact
17,000원에 팔고 있어요.	It's selling for 17,000 won.
부정확하다	to be inaccurate, incorrect
신용카드로 계산할게요.	I'll pay by credit card.
이틀만	just two days
