어울리다	to match, suit with/well
곁들이다	to garnish
골뱅이	sea snail, @
무치다	to season (food)
파전	green onion 'pancake'
영양	nutrition
예	an example, illustration, instance
궁합	well matched couple, marital compatibility, harmony
지방	fat
분해	dissolve, break down, decompose
소화	digestion
비유	a comparison, simile, a figure of speech
남녀	men and women
영양소	nutrients
파괴하다	to break, destroy, demolish, wreck 
끓다	to boil
낳다	to give birth, bear life, breed, spawn
정도	a degree, extent
떨어지다	to fall, slip, drop
