변명	an explaination, excuse, justification
기간만료	an expiration
명령	a command, an order
고생하다	to suffer, hardship, have trouble
지나다	to pass, go by
과태료	a fine, a penalty
수수료	a fee, a commission, a charge
시험장	testing site, location, place
필기	written (a written test)
실기	practice, practical skill, technique
분실	lose, loss, miss
금방	soon
붙다	to stick, attach, adhere (_다)
본국	home country, home land
서명	signature (한)
인	stamp (도장)
부착하다	to stick, glue, attach (__하다)
14일 이내	within 14 days
전입	move in, transfer
