명절	(national) holiday
설날	Lunar New Year (holiday name)
세배를 하다	to give a new Year's bow to elders
음력	lunar calendar
절하다	to bow (general)
구정	Lunar New Year
뜻	meaning, sense (같은 ~이 same meaning)
양력	solar calendar
설빔을 입다	to wear New Year's clothes (best, new, clean)
세뱃돈을 받다	to receive New Year's money
복조리를 걸다	to hang a woven item for luck
보름달	a full moon
제기차기	traditional Korean hacky sack, weighted shuttlecock
연날리기	rectangle kites
윷놀이	4 stick game (lit: 윷 + game)
차례를 지내다	to hold ancestor rites
덕담을 하다	to give words of blessing
떡국	rice cake soup
추석	Thanksgiving
소편을 빚다	to make stuffed rice cakes
성묘를 하다 	to visit a grave site, ancestor's grave
보름달을 보고 소원을 빌다	make a wish during a full moon
벌초를 하다	to clean a grave site, cut weeds, tidy up a grave
줄다리기	tug-of-war
강강술래	trad. circle dance with song
