특징	feature
파티	party
패션	fashion
포장	wrap, packing
표현	expression
프로그램	program
하숙	boarding house
학기	semester
학년	grade
한번	once, on trial
한자	Chinese characters
할인	discount
해외	Overseas
행복	happiness
행사	event
현금	cash
현재	the present
혼자	alone
홈페이지	Home page
회의	meeting
후	after
휴가	leave, vacation
휴일	holiday
힘	Strength
