가끔	sometimes
가득	fully/a lot/much
가장	most
간단히	Simply/easily
갑자기	Suddenly
같이	together
거의	almost
계속	Continuously
곧	Soon
그냥	somehow/just
그래서	accordingly
그러나	however
그러니까	So/therefore
그러면	if you do
그런데	however/nonetheless
그렇지만	Even so
그리고	and
그만	No more
금방	Shortly/just now
깜짝	Surprised
꼭	surely
나중에	later
날마다	Every day
너무	Too
