아기	baby
아이	toddler
어린이	Child
어른	Young adult
머리	Head
머리카락	hair
눈	eye
코	nose
귀	Ears
입	mouth
이	teeth
목	throat
얼굴	face
어깨	shoulder
가슴	chest
등	back
허리	waist
몸	body
배	stomach
손	hand
팔	arm
다리	leg
무릎	knee
발	Foot
