감	persimmon
귤	tangerine
딸기	strawberry
바나나	Banana
배	pear
복숭아	peach
사과	apple
수박	watermelon
오렌지	orange
포도	grape
호박	melon
토마토	tomato
감자	potato
고추	pepper
당근	carrot
마늘	garlic
무	raddish
오이	cucumber
파	Green onion
양파	Onion
국수	Noodle soup
떡볶이	Spicy Rice cakes
라면	ramen
김밥	kimbab
김치찌개	Kimchi stew
만두	dumplings
냉면	Cold noodles
불고기	bulgogi
비빔밥	Bibimbap
떡국	Rice cake soup
된장찌개	Daenjang stew
삼계탕	Samgyetang
맥주	beer
녹차	Green tea
빵	bread
샌드위치	sandwich
아이스크림	Ice cream
우유	milk
주스	juice
커피	coffee
케이크	cake
콜라	soda
홍차	Black tea
