매다	to tie/fasten
먹다	to eat
메다	to shoulder
모르다	to not know
모시다	to accompany
모으다	to collect/raise
모이다	to gather
못하다	to be poor at/can't do
묻다	to ask
밀리다	to be congested/be delayed
바꾸다	to alter/exchange
바뀌다	to change
바라다	to wish/hope
바르다	to spread/apply
받다	to receive
배우다	to learn
버리다	to throw away
벌다	to earn
벗다	to take off
보내다	to send
보다	to watch
보이다	to be in sight/to show
볶다	to fry
뵙다	to meet(honorific)
