주문하다	to order
주차하다	to park
죽하다	to die
준비하다	to prepare
줄다	to decrease/reduce
즐거워하다	to be amused
즐기다	to enjoy oneself
지나다	to pass
지내다	To pass(time)/spend
지키다	to keep/obey
질문하다	To ask a question
짓다	to build
찍다	To take (a photo)
차다	to kick
차리다	to set the table
찾다	to search/consult
찾아가다	to visit
청소하다	to clean
초대하다	to invite
촬영하다	to shoot
축하하다	to congratulate
출근하다	to go to work
출발하다	to depart
춤추다	to dance
