늘	always
다	all
다시	again
더	more/further
드디어	At last
따로	separately
또	also/another
또는	Or
똑바로	honestly/straight
많이	a lot
매우	very
먼저	first/firstly
모두	all/everyone
모레	the day after tomorrow
못	not being able to
무척	Very
물론	surely/absolutely
미리	beforehand
바로	directly
벌써	already
별로	Be not particularly
보통	Usually
빨리	quickly
새로	Newly
