자동차	Automobile
비행기	plane
자전가	bike
택시	taxi
배	boat
버스	bus
기차	train
지하철	Subway
사거리	intersection
북쪽	north
남쪽	south
동쪽	east
서쪽	west
횡단보도	Crosswalk
신호등	Traffic signal
도로	Road
삼거리	3 way intersection
안	inside
밖	outside
위	on/over
아래(밑)	Under
오른쪽	right
왼쪽	left
앞	front
뒤	behind
속	in/inside
사이 (가운데)	Between
