그리다	to draw
그치다	to cease
기다리다	to wait
기르다	to grow long
기뻐하다	to be glad
기억하다	to remember
긴장되다	to feel tension
깎다	to cut (hair,price)
깨다	to break
깨지다	to break(지)
꺼내다	to take out
꾸다	to dream
끄다	to turn off
끓이다	to boil
끝나다	to end
끝내다	to finish
끼다	to wear/put on
나가다	to go out
나누다	to share/exchange
나다	to appear/occur
나타나다	to appear
남기다	to leave/behind
낫다	to be cured
내다	to submit/spare
