,0,1
9,주문하다,"to order, request"
10,특히,"in particular, especially"
11,포기,head (cabbage) counter
12,하루,a day
0,기침을 해요,to cough
1,목이 아파요,sore throat
2,머리가 아파요,have a headache
3,콧물이 나요,have a runny nose
4,열이 나요,have a fever
5,몸살 기운이 있어요,"have the chills, bodyaches"
6,구급상자,first aid kit
7,밴드,"bandaid, adhesive bandage (not 반창고)"
8,반창고,"bandaid, adhesive bandage (not 밴드)"
9,파스,pain relief patch
10,물파스,liquid pain relief patch
11,소돈약,"disinfectant, antispetic"
12,연고,ointment
13,알약,pill
14,안약,eye drops
15,진통제,painkiller
16,물약,liquid medicine
17,몸을 따뜻하게 해요,keeps self warm
18,차를 마셔요,drink some tea
19,생강차,ginger tea
20,유자차,citron tea
21,모과차,Chinese quince tea
22,대주차,jujube tea
23,감습기를 틀어요,use a humidifier
24,비타민을 먹어요,take vitamins
0,가격,price
1,걸다,hang - used with to make a call (전화를 __다)
2,걸리다,"to be hung, caught"
3,고속버스,express bus
4,공항,airprort
5,교통편,transportation
6,구경,sightseeing
7,녹차,green tea
8,놀다,"to play, hangout"
9,닭갈비,spicy grill chicken
10,등산,hike
11,딸,daughter
12,박물관,museum
13,부엌,kitchen (not 주방)
14,빨래,laundry
15,수영,swim
16,숙소,"lodging, hotel"
17,식물원,botanical gardens
18,싫어하다,to dislike
19,아들,son
20,연휴,holidays
21,온천,hot springs
22,자전거,bicycle
23,즐겁다,enjoyable
24,청소,clean
25,편하다,"comfortable, relaxed"
26,항공,flight
27,해듣이,sunrise
28,호텔,hotel
29,화장실,bathroom
30,회,raw fish
31,휴가,vacation
32,특별하다,to be special
33,계획,plan
34,특별한 계획,special plan
0,가격,price
1,개,thing counter
2,경험,experience
3,권,book counter
4,그릇,"bowl counter, bowl"
5,깎다,discount
6,농구공,basketball ball
7,느리다,"slow, sluggish"
8,대,appliances counter
9,등산,hike
10,등산화,hiking shoes
11,마리,animal counter
12,명,people counter
13,모르다,"to not know, be unaware of"
14,모자,"hat, cap"
15,바지,pants
16,벌,clothing counter
17,부츠,boots
18,분,formal people counter
19,비싸다,to be expensive
20,빠르다,to be fast (base form)
21,상자,"box counter, box"
22,샌들,sandals
23,생선,fresh fish
24,송이,flower counter
25,쇼핑,shopping
26,숙제,homework
27,슬리퍼,slippers
28,시끄럽다,noisy
29,신발,shoes
30,싸다,to be cheap
31,아저씨,middle aged man
32,아주머니,middle aged woman
33,알다,to know
34,양말,socks
35,우산,umbrella
36,우표,stamp
37,운동화,running shoes
38,인분,meat counter
39,잔,"cup, glass, cup counter"
40,장,paper counter
41,전자상가,electronic store
42,전화,phone
43,조용하다,be quiet
44,신문,Newspaper
45,주스,juice
46,취미,hobby
47,치마,skirt
48,카드,card
49,켤레,pair counter
50,코트,coat
51,티셔츠,t-shirt
52,통,"watermelon counter, container, can"
53,현금,cash
54,깎아 주세요,give me a discount
55,이/가 어때요?,How's this?
56,이/가 얼마예요?,How much is this?
0,고객,customer
1,괜찮아요,it's ok
2,군만두,fried mandu
3,그릇,"bowl counter, bowl"
4,냉장고,refrigerator
5,뜻,meaning
6,맞다,"right, correct"
7,배달하다,to deliver
8,볶음밥,fried rice
9,분식집,korean snack restaruant
10,세탁기,washing machine
11,소개하다,to introduce
12,수도,capital city
13,시키다,"to order, command someone"
